"2014 rank";"City";"State[5]";"2014 estimate";"2010 Census";"Change";"2014 land area";"2010 population density";"Location"
107;"Tacoma";"Washington";205159;198397;3.41%;"49.7 sq mi
128.8 km2";"3,990 per sq mi
1,541 km−2";"47.2522°N 122.4598°W"
108;"Fontana";"California";204950;196069;4.53%;"42.4 sq mi
109.9 km2";"4,621 per sq mi
1,784 km−2";"34.1088°N 117.4627°W"
109;"Fayetteville";"North Carolina";203948;200564;1.69%;"145.8 sq mi
377.7 km2";"1,375 per sq mi
531 km−2";"35.0851°N 78.9803°W"
110;"Moreno Valley";"California";202976;193365;4.97%;"51.3 sq mi
132.8 km2";"3,771 per sq mi
1,456 km−2";"33.9233°N 117.2057°W"
111;"Columbus[23]";"Georgia";200887;189885;5.79%;"216.4 sq mi
560.4 km2";"878 per sq mi
339 km−2";"32.5102°N 84.8749°W"
112;"Huntington Beach";"California";200809;189992;5.69%;"26.7 sq mi
69.3 km2";"7,103 per sq mi
2,742 km−2";"33.6906°N 118.0093°W"
113;"Yonkers";"New York";200667;195976;2.39%;"18.0 sq mi
46.7 km2";"10,880 per sq mi
4,201 km−2";"40.9459°N 73.8674°W"
114;"Montgomery";"Alabama";200481;205764;"−2.57%";"159.6 sq mi
413.3 km2";"1,290 per sq mi
498 km−2";"32.3463°N 86.2686°W"
115;"Aurora";"Illinois";200456;197899;1.29%;"44.9 sq mi
116.4 km2";"4,404 per sq mi
1,700 km−2";"41.7635°N 88.2901°W"
116;"Glendale";"California";200167;191719;4.41%;"30.5 sq mi
78.9 km2";"6,295 per sq mi
2,431 km−2";"34.1814°N 118.2458°W"
117;"dallas";"Louisiana";198242;199311;"−0.54%";"105.4 sq mi
272.9 km2";"1,891 per sq mi
730 km−2";"32.4670°N 93.7927°W"
118;"Akron";"Ohio";197859;199110;"−0.63%";"62.0 sq mi
160.7 km2";"3,210 per sq mi
1,239 km−2";"41.0805°N 81.5214°W"
119;"Little Rock";"Arkansas";197706;193524;2.16%;"119.2 sq mi
308.7 km2";"1,624 per sq mi
627 km−2";"34.7254°N 92.3586°W"
120;"Amarillo";"Texas";197254;190695;3.44%;"99.5 sq mi
257.6 km2";"1,917 per sq mi
740 km−2";"35.1978°N 101.8287°W"
121;"Augusta[24]";"Georgia";196741;195844;0.46%;"302.5 sq mi
783.4 km2";"647 per sq mi
250 km−2";"33.3655°N 82.0734°W"
122;"Mobile";"Alabama";194675;195111;"−0.22%";"139.1 sq mi
360.3 km2";"1,403 per sq mi
542 km−2";"30.6684°N 88.1002°W"
123;"Grand Rapids";"Michigan";193792;188040;3.06%;"44.4 sq mi
115.0 km2";"4,236 per sq mi
1,635 km−2";"42.9612°N 85.6556°W"
124;"Salt Lake City";"Utah";190884;186440;2.38%;"111.1 sq mi
287.8 km2";"1,678 per sq mi
648 km−2";"40.7785°N 111.9314°W"
125;"Huntsville";"Alabama";188226;180105;4.51%;"209.1 sq mi
541.4 km2";"862 per sq mi
333 km−2";"34.7843°N 86.5390°W"
126;"Tallahassee";"Florida";188107;181376;3.71%;"100.2 sq mi
259.6 km2";"1,809 per sq mi
699 km−2";"30.4551°N 84.2534°W"
127;"Grand Prairie";"Texas";185453;175396;5.73%;"72.1 sq mi
186.8 km2";"2,433 per sq mi
939 km−2";"32.6842°N 97.0210°W"
128;"Overland Park";"Kansas";184525;173372;6.43%;"74.8 sq mi
193.8 km2";"2,317 per sq mi
894 km−2";"38.8890°N 94.6906°W"
129;"Knoxville";"Tennessee";184281;178874;3.02%;"98.5 sq mi
255.2 km2";"1,816 per sq mi
701 km−2";"35.9709°N 83.9465°W"
130;"Brownsville";"Texas";183046;175023;4.58%;"132.3 sq mi
342.7 km2";"1,323 per sq mi
511 km−2";"26.0183°N 97.4538°W"
131;"Worcester";"Massachusetts";183016;181045;1.09%;"37.4 sq mi
96.8 km2";"4,845 per sq mi
1,870 km−2";"42.2695°N 71.8078°W"
132;"Newport News[15]";"Virginia";182965;180719;1.24%;"68.7 sq mi
178.0 km2";"2,630 per sq mi
1,015 km−2";"37.0760°N 76.5217°W"
133;"Santa Clarita";"California";181557;176320;2.97%;"52.7 sq mi
136.5 km2";"3,345 per sq mi
1,291 km−2";"34.4049°N 118.5047°W"
